GeneSymbol,17-002,17-003,17-004
zbtb46,0.551538157,,
zbtb47,0.503997874,,
zbtb48,0.116037134,,
zbtb5,0.875508557,,
zbtb6,0.557631982,,
zbtb7a,0.913073686,,
zbtb7b,0.588189001,,
zbtb7c,0.48959101,,
zbtb8a,0.642198763,,
zbtb8os,0.905446713,,
zbtb9,0.337573289,,
zc3h10,0.616523554,,
zc3h11a,0.352663696,,
zc3h11b,0.855454228,,
zc3h12a,0.459976434,,
zc3h12b,0.467576485,,
zc3h12c,0.361701601,,
zc3h12d,0.537945542,,
zc3h13,0.523432881,,
zc3h14,0.402631262,,
zc3h15,0.575083926,,
zc3h18,0.756296351,,
zc3h3,0.125770198,,
zc3h4,0.913467556,,
zc3h5,0.332135471,,
zc3h6,0.638307879,,
zc3h7a,0.445361063,,
zc3h7b,0.644020685,,
zc3h8,2.02E-18,,
zc3hav1,0.084971513,,
zc3hav1l,0.322765139,,
zc3hc1,0.393034023,,
zc4h2,0.658025237,,
zcchc10,0.339548778,,
zcchc11,0.038252234,,
zcchc12,0.631074928,,
zcchc13,0.632815068,,
zcchc14,0.327842246,,
zcchc16,0.389888338,,
zcchc17,0.108063583,,
zcchc2,0.579042285,,
zcchc24,0.719204193,,
zcchc3,0.326477207,,
zcchc4,0.583716318,,
zcchc5,0.427023199,,
zcchc6,0.020558895,,
zcchc7,0.373908445,,
zcchc8,0.07451812,,
zcchc9,0.211451751,,
zcrb1,0.767440405,,
zcwpw1,0.759377179,,
zcwpw2,0.476621525,,
zdbf2,0.642177769,,
zdhhc1,0.831240886,,
zdhhc11,0.613336206,,
zdhhc11b,0.646557025,,
zdhhc12,2.47E-64,,
zdhhc13,0.31392732,,
zdhhc14,0.399651953,,
zdhhc15,0.639294827,,
zdhhc16,0.582242732,,
zdhhc17,0.192675991,,
zdhhc18,0.536927681,,
zdhhc19,0.774894278,,
zdhhc2,0.933748152,,
zdhhc20,0.870366442,,
zdhhc21,0.593245643,,
zdhhc22,0.610278631,,
zdhhc23,0.550708941,,
zdhhc24,0.537198354,,
zdhhc3,0.760167605,,
zdhhc4,0.530136299,,
zdhhc5,0.665812535,,
zdhhc6,0.029093579,,
zdhhc7,0.233730003,,
zdhhc8,0.603257277,,
zdhhc8p,0.664980557,,
zdhhc9,0.507593755,,
zeb1,0.477353025,,
zeb2,0.903124444,,
zer1,0.691084573,,
zfand1,0.523369328,,
zfand2a,0.817185894,,
zfand2b,0.836675331,,
zfand3,0.360866317,,
zfand5,0.176975153,,
zfand6,0.580136459,,
zfat,0.6413672,,
zfatas,0.619559633,,
zfc3h1,0.073418001,,
zfhx2,0.681782014,,
zfhx3,0.594255571,,
zfhx4,0.623177617,,
zfp1,0.840573985,,
zfp106,0.571562274,,
zfp112,0.633218854,,
zfp14,0.485975754,,
zfp161,0.661240067,,
zfp2,0.611020858,,
zfp28,0.633852906,,
zfp3,0.597969047,,
zfp30,0.700745015,,
zfp36,0.715370784,,
zfp36l1,0.882047686,,
zfp36l2,0.666184217,,
zfp37,0.47259929,,
zfp41,0.575361832,,
zfp42,0.431390612,,
